country,year,stringency_index_mean,cases_pm_mean,deaths_pm_mean,vax_end,iso3,gdp_growth,unemployment
Cambodia,2020,44.175983606557374,0.0586141609862259,0.0,,KHM,-3.55572193406549,0.172
Cambodia,2021,71.0048493150685,19.13268263292055,0.4797226203205479,82.9113,KHM,3.08984284148661,0.396
Cambodia,2022,20.186465753424656,2.8804062478,0.0070079001643835,88.60723,KHM,5.12990110773977,0.231
Cameroon,2020,42.06560109289617,2.676584066793388,0.0446629045151515,,CMR,0.259932915907115,3.87
Cameroon,2021,31.25909589041096,8.211215527123288,0.1393025401808219,3.018561,CMR,3.33885747179505,3.973
Cameroon,2022,21.27191780821918,1.4204893358082191,0.011104544,11.698046,CMR,3.7367840056412,3.653
Canada,2020,55.79491803278688,40.240240245060775,1.0838683783608816,0.24771994,CAN,-5.03823343468899,9.657
Canada,2021,69.4129315068493,108.46803710301369,1.0362914088931507,81.77516,CAN,5.95052802804381,7.527
Canada,2022,25.710794520547942,168.69093606027397,1.3547578831785714,89.17345,CAN,4.18903628100851,5.279
Cape Verde,2020,58.27740437158469,62.50621092975207,0.5936314396694214,,CPV,-20.8052758990735,14.69
Cape Verde,2021,59.33367123287672,152.5759874449315,1.265097144931507,58.259163,CPV,7.03353010694514,13.976
Cape Verde,2022,26.833287671232878,118.40255053342464,0.3162742873972602,68.63569,CPV,15.843675684642,12.246
Central African Republic,2020,39.56453551912568,3.1438659872176307,0.0340432387327823,,CAF,0.899999996857062,6.196
Central African Republic,2021,16.270712328767125,3.5662390092602743,0.0204215019178082,7.357654,CAF,0.982919996264229,6.375
Central African Republic,2022,15.83227397260274,1.561707445205479,0.0064488952328767,38.93245,CAF,0.453901876447787,5.956
Chad,2020,54.58786885245902,0.3100332766942149,0.0156733239118457,,TCD,-0.393646583111035,1.707
Chad,2021,30.004575342465756,0.5379894554794521,0.0112823394520547,1.1121943,TCD,0.29344264815208,1.548
Chad,2022,24.29835616438356,0.2893326359178082,0.0019298738630136,20.31966,TCD,4.12969897676332,1.096
Chile,2020,65.16598360655738,85.37211297060607,2.3245391555922863,0.04422843,CHL,-6.14347479224092,10.934
Chile,2021,64.63060273972603,167.96357132054794,3.166239681780822,88.51766,CHL,11.3149204879049,9.281
Chile,2022,24.32643835616438,452.25369881095895,3.370251146575343,92.481575,CHL,2.15399356192458,8.249
China,2020,68.27338797814207,0.1868654350209366,0.0092550321355371,,CHN,2.34018843078414,5.0
China,2021,74.11605479452055,0.0680481420673972,0.00175128136,88.4076,CHN,8.57008513166322,4.55
China,2022,77.56400000000001,163.00367745943564,0.0900535402983561,91.72332,CHN,3.1341888719577,4.98
Colombia,2020,63.19469945355191,86.22458685220441,2.269329997247934,,COL,-7.18591413760859,15.983
Colombia,2021,61.00991780821918,186.59795367397265,4.620016151753425,74.12953,COL,10.8011981904878,13.898
Colombia,2022,27.75649315068493,63.88951853835616,0.6520213944493151,82.93569,COL,7.32827729427979,10.547
Congo,2020,52.01385245901639,2.9355341066391185,0.0456466194214876,,COG,-6.26777227963225,22.198
Congo,2021,45.12271232876713,6.73956454849315,0.1221165876164383,10.321049,COG,1.01507036990908,21.96
